PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
00979392,3659641,Poughkeepsie city,C5,A,13324438,1487437,+41.6945945,-73.9198692,441,Polygon
02391084,3659960,Pulaski village,C1,A,9157572,265483,+43.5655042,-76.1260345,442,Polygon
02391085,3660422,Quogue village,C1,A,10794725,1994914,+40.8214060,-72.5989033,443,Polygon
02391087,3660675,Ravena village,C1,A,3802021,14194,+42.4755465,-73.8112139,444,Polygon
02391088,3660829,Red Creek village,C1,A,2353379,69631,+43.2479030,-76.7228518,445,Polygon
02391089,3660895,Red Hook village,C1,A,2731454,33611,+41.9957853,-73.8765115,446,Polygon
02391090,3661115,Remsen village,C1,A,964298,0,+43.3282165,-75.1869927,447,Polygon
00979414,3661148,Rensselaer city,C5,A,8232403,866029,+42.6457400,-73.7325135,448,Polygon
02391091,3661159,Rensselaer Falls village,C1,A,752579,68876,+44.5907701,-75.3197948,449,Polygon
02391092,3661346,Rhinebeck village,C1,A,3900078,52496,+41.9288040,-73.9102837,450,Polygon
02391093,3661434,Richburg village,C1,A,2331433,0,+42.0887648,-78.1565122,451,Polygon
02391094,3661489,Richfield Springs village,C1,A,2606912,0,+42.8537027,-74.9862273,452,Polygon
02391095,3661588,Richmondville village,C1,A,4782134,0,+42.6334549,-74.5628208,453,Polygon
02391096,3661621,Richville village,C1,A,1912198,0,+44.4150698,-75.3924536,454,Polygon
02391097,3662061,Riverside village,C1,A,780844,14892,+42.1560324,-77.0791670,455,Polygon
00979426,3663000,Rochester city,C5,A,92634700,3640302,+43.1699272,-77.6168907,456,Polygon
02391098,3663264,Rockville Centre village,C1,A,8419755,220954,+40.6640241,-73.6380479,457,Polygon
00979430,3663418,Rome city,C5,A,193870118,2077000,+43.2260019,-75.4895228,458,Polygon
02391100,3663770,Roslyn village,C1,A,1670981,30136,+40.7998156,-73.6504240,459,Polygon
02391101,3663792,Roslyn Estates village,C1,A,1131054,0,+40.7936723,-73.6612166,460,Polygon
02391102,3663803,Roslyn Harbor village,C1,A,3084042,3918,+40.8112337,-73.6405820,461,Polygon
02391103,3663957,Round Lake village,C1,A,2907114,276184,+42.9376685,-73.7956687,462,Polygon
